model	window	n	n_scored	n_pos	n_neg	auroc	auroc_lo	auroc_hi
hyenadna-medium-160k_full	1024	174	160	32	128	0.43603515625	0.337872314453125	0.53492431640625
hyenadna-medium-160k_site	1024	174	160	32	128	0.426513671875	0.33201904296875	0.529351806640625
hyenadna-medium-160k_site	32768	174	160	32	128	0.424560546875	0.3241943359375	0.524664306640625
hyenadna-small-32k_full	256	174	160	32	128	0.406982421875	0.311016845703125	0.504644775390625
hyenadna-small-32k_full	1024	174	160	32	128	0.39404296875	0.295391845703125	0.490240478515625
hyenadna-small-32k_full	4096	174	160	32	128	0.392822265625	0.292462158203125	0.494146728515625
hyenadna-small-32k_full	16384	174	160	32	128	0.394775390625	0.29708251953125	0.491455078125
hyenadna-small-32k_full	32768	174	160	32	128	0.390869140625	0.29051513671875	0.486572265625
hyenadna-small-32k_site	256	174	160	32	128	0.419921875	0.31883544921875	0.515887451171875
hyenadna-small-32k_site	1024	174	160	32	128	0.417236328125	0.31468505859375	0.516375732421875
hyenadna-small-32k_site	4096	174	160	32	128	0.415771484375	0.31416015625	0.5144470214843749
hyenadna-small-32k_site	16384	174	160	32	128	0.420166015625	0.322015380859375	0.51929931640625
hyenadna-small-32k_site	32768	174	160	32	128	0.421630859375	0.325927734375	0.52052001953125
hyenadna-tiny-1k_full	1024	174	160	32	128	0.441650390625	0.33931884765625	0.54248046875
kmer_o6_reference	256	174	160	32	128	0.49365234375	0.3644775390625	0.601324462890625
kmer_o6_reference	1024	174	160	32	128	0.49365234375	0.3644775390625	0.601324462890625
kmer_o6_reference	4096	174	160	32	128	0.49365234375	0.3644775390625	0.601324462890625
kmer_o6_reference	6144	174	160	32	128	0.49365234375	0.3644775390625	0.601324462890625
kmer_o6_reference	12282	174	160	32	128	0.49365234375	0.3644775390625	0.601324462890625
kmer_o6_reference	16384	174	160	32	128	0.49365234375	0.3644775390625	0.601324462890625
kmer_o6_reference	32768	174	160	32	128	0.49365234375	0.3644775390625	0.601324462890625
nt-v2-50m	1024	174	160	32	128	0.37939453125	0.277301025390625	0.484893798828125
nt-v2-50m	6144	174	160	32	128	0.4501953125	0.336895751953125	0.5518310546874999
nt-v2-50m	12282	174	160	32	128	0.42431640625	0.31444091796875	0.533209228515625
