stratum	scorer	n	n_scored	coverage	n_pos	n_neg	prevalence	auroc	auroc_lo	auroc_hi	auprc	auprc_lo	auprc_hi	spearman_rho	spearman_p	n_spearman
overall	kmer_o6	2000	2000	1.0	1000	1000	0.5	0.528817	0.5041401499999999	0.55431435	0.5133261830049263	0.49466714447267324	0.5372524472166313			0
overall	phylop100way	2000	2000	1.0	1000	1000	0.5	0.9280499999999999	0.9154106875	0.9389472375	0.9369448299951245	0.9241637956818768	0.9477502528786085			0
overall	hyenadna-tiny-1k_full	2000	2000	1.0	1000	1000	0.5	0.502633	0.4777052	0.528441525	0.4979091834279207	0.47909949230579935	0.5200062868399394			0
overall	hyenadna-small-32k_full	2000	2000	1.0	1000	1000	0.5	0.496487	0.47120587499999994	0.521137	0.4897103465486473	0.47055714577871555	0.5114757985244671			0
overall	nt-v2-50m	2000	2000	1.0	1000	1000	0.5	0.522829	0.49902029999999997	0.5487599	0.513477502360682	0.4946929070868327	0.5374773921771596			0
intronic	kmer_o6	338	338	1.0	34	304	0.10059171597633136	0.521671826625387	0.42364309210526313	0.6134021865325078	0.10937740918477412	0.08798559178994513	0.17523749802086622			0
intronic	phylop100way	338	338	1.0	34	304	0.10059171597633136	0.8619388544891642	0.7815257352941177	0.9348055340557275	0.6985150095087383	0.5593744395703275	0.8275281198024648			0
intronic	hyenadna-tiny-1k_full	338	338	1.0	34	304	0.10059171597633136	0.4885835913312694	0.39154169891640866	0.5880442143962848	0.10256980606568694	0.0833892843894762	0.15824341118008933			0
intronic	hyenadna-small-32k_full	338	338	1.0	34	304	0.10059171597633136	0.4718459752321981	0.37749371130030956	0.571234036377709	0.09591776540341262	0.08017596713514459	0.14077266112565964			0
intronic	nt-v2-50m	338	338	1.0	34	304	0.10059171597633136	0.5178986068111455	0.4254982585139319	0.6059549148606812	0.10279604149206797	0.08664203584619783	0.14420255608828922			0
missense	kmer_o6	456	456	1.0	355	101	0.7785087719298246	0.610486682471064	0.5530323525310277	0.6706212522660716	0.8465655599070453	0.8164006464989834	0.8778112726838756			0
missense	phylop100way	456	456	1.0	355	101	0.7785087719298246	0.9227164970018128	0.8866901408450705	0.9575240552224238	0.9648094223571289	0.9406217673534492	0.9860412781479981			0
missense	hyenadna-tiny-1k_full	456	456	1.0	355	101	0.7785087719298246	0.5790266350578719	0.5179145168037931	0.6415039743410962	0.8304302385106204	0.7986957457746839	0.8646321952895957			0
missense	hyenadna-small-32k_full	456	456	1.0	355	101	0.7785087719298246	0.5899595593362152	0.5350418351694324	0.6500237065960116	0.8386773835153517	0.809853414898628	0.870502875809874			0
missense	nt-v2-50m	456	456	1.0	355	101	0.7785087719298246	0.5952586807976572	0.5367417375540371	0.655619857760424	0.8354595213833238	0.8036415332354546	0.866860244761021			0
