run_id	dataset	scorer	mode	order	window	subset	n_variants	n_positions	threads	wall_seconds	reused_from
brca1_kmer_o2_w1024	brca1	kmer		2	1024	all	3893	1326	4	18.001	
brca1_kmer_o4_w1024	brca1	kmer		4	1024	all	3893	1326	4	30.069	
brca1_kmer_o6_w1024	brca1	kmer		6	1024	all	3893	1326	4	36.457	
brca1_kmer_o8_w1024	brca1	kmer		8	1024	all	3893	1326	4	41.008	
brca1_phylop100way	brca1	phylop100way				all	3893	1326	4	0.004	
brca1_phylop_mammalian	brca1	phylop_mammalian				all	3893	1326	4	0.025	
brca1_cadd	brca1	cadd				all	3893	1326	4	0.04	
brca1_hyenadna-tiny-1k_full_w1024	brca1	hyenadna-tiny-1k	full		1024	all	3893	1326	4	1854.399	
brca1_hyenadna-small-32k_full_w1024	brca1	hyenadna-small-32k	full		1024	all	3893	1326	4	2003.062	
brca1_hyenadna-small-32k_full_w256_sweep	brca1	hyenadna-small-32k	full		256	sweep	88	30	4	7.307	
brca1_hyenadna-small-32k_full_w1024_sweep	brca1	hyenadna-small-32k	full		1024	sweep	88	30	4	0.029	brca1_hyenadna-small-32k_full_w1024.tsv
brca1_nt-v2-50m_w1024	brca1	nt-v2-50m			1024	all	3893	1326	4	2197.621	
brca1_kmer_o6_w1024_sweep	brca1	kmer		6	1024	sweep	88	30	4	0.038	brca1_kmer_o6_w1024.tsv
brca1_nt-v2-50m_w1024_sweep	brca1	nt-v2-50m			1024	sweep	88	30	4	0.033	brca1_nt-v2-50m_w1024.tsv
brca1_hyenadna-small-32k_full_w4096_sweep	brca1	hyenadna-small-32k	full		4096	sweep	88	30	4	76.861	
brca1_nt-v2-50m_w6144_sweep	brca1	nt-v2-50m			6144	sweep	88	30	4	92.071	
brca1_nt-v2-50m_w12282_sweep	brca1	nt-v2-50m			12282	sweep	88	30	4	247.26	
clinvar_kmer_o6_w1024	clinvar	kmer		6	1024	all	2000	1982	4	5.854	
clinvar_phylop100way	clinvar	phylop100way				all	2000	1982	4	0.003	
brca1_hyenadna-small-32k_full_w16384_sweep	brca1	hyenadna-small-32k	full		16384	sweep	88	30	4	358.481	
